,150,450a,550a,009a,all_categories,kategorie_tematyczne,subject_category,item,ukLabel,deLabel,frLabel,enLabel,plLabel,itemId,lcsh,yso,550g,550h,009,455,555a,555g,555h,155
Filologia włoska,Filologia włoska,['Italianistyka'],,['9810593758605606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Filologia romańska', 'Język włoski']",,,,,,,
Futuryzm,Futuryzm,,,['9810660688805606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q131221,футуризм,Futurismus,futurisme,futurism,futuryzm,Q131221,sh85052619,1323,"['Style i kierunki artystyczne', 'Afrofuturyzm']",,,,,,,
Grioci,Grioci,,"['Murzyni', 'kultura']",['9810633320905606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Groteska,Groteska,,"['Estetyka', 'Komizm']",['9810633321805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q218248,гротеск,Groteske,grotesque,grotesque,groteska,Q218248,sh85057441,15490,,,,,,,,
Impresjonizm,Impresjonizm,,,['9810632850805606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q56344103,Імпресіонізм у музиці,Impressionismus,Impressionismus,Impressionism,Impresjonizm,Q56344103,sh85064664,11651,['Style i kierunki artystyczne'],,,,,,,
Intuicja,Intuicja,,,['9810637759005606'],Psychologia Literaturoznawstwo,"['Psychologia', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q189222,Інтуїція,Intuition,intuition,intuition,intuicja,Q189222,sh85067653,9871,"['Poznanie', 'Intuicjonizm etyczny', 'Intuicjonizm matematyczny', 'Kody moralne', 'Rozumienie', 'Wgląd (psychologia)']",,,,,,,
Klasycyzm,Klasycyzm,"['Neoklasycyzm', 'Styl klasycystyczny']",,['9810693962005606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q170292,класицизм,Klassizismus,classicisme,classicism,klasycyzm,Q170292,,10167,"['Style i kierunki artystyczne', 'Biedermeier', 'Empire (styl)', 'Oświecenie', 'Prądy i kierunki literackie', 'Recepcja antyku', 'Styl dyrektoriatu', 'Style architektoniczne']",,,,,,,
Komizm,Komizm,,"['Adoksografia', 'Estetyka', 'Groteska', 'Kalambury', 'Memy internetowe']",['9810530501005606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q109186998,комічне,Komik,comique,comic,Komizm,Q109186998,sh85028859,9237,,"['Heroikomika', 'Humor']",,,,,,
Komparatystyka,Komparatystyka,['Literaturoznawstwo porównawcze'],,['9810530501505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q834903,компаративізм літературний,Komparatistik,littérature comparée,comparative literature,komparatystyka,Q834903,sh85077534,,"['Literaturoznawstwo', 'Intersemiotyczność', 'Korespondencja sztuk']",['Imagologia'],,,,,,
Konkursy i festiwale,Konkursy i festiwale,"['Konkursy', 'Plebiscyty popularności']","['Imprezy', 'Laureaci', 'Nagrody']",['9810611669705606'],Kultura i sztuka Kultura fizyczna i sport Literaturoznawstwo,"['Kultura i sztuka', 'Kultura fizyczna i sport', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,"['Człowiek Ziemi Gliwickiej (plebiscyt)', 'Eco-Miasto (konkurs)', 'Festyn', 'Hipokrates Świętokrzyski (plebiscyt)', 'Kobieta Przedsiębiorcza (plebiscyt)', 'Konkursy architektoniczne', 'Konkursy budowlane', 'Konkursy gospodarcze', 'Konkursy i festiwale florystyczne', 'Konkursy i festiwale folklorystyczne', 'Konkursy i festiwale kulturalne', 'Konkursy i festiwale naukowe', 'Konkursy i festiwale kulinarne', 'Konkursy na stanowiska kierownicze', 'Konkursy piękności', 'Konkursy studenckie', 'Konkursy szkolne', 'Konkursy wiedzy', 'Konkurs ""Za wybitne osiągnięcia w dziedzinie techniki""', 'Kosmetyczka Roku (konkurs)', 'Ludzie z pasją (plebiscyt Echa Dnia)', 'Mistrzowie Handlu (plebiscyt)', 'Młodzieżowe Słowo Roku (plebiscyt)', 'Mosty Dialogu (plebiscyt)', 'Nauczyciel na Medal (plebiscyt)', 'Olimpiady szkolne', 'Samorządowiec Roku (plebiscyt)', 'Świąteczna Gwiazdeczka (plebiscyt)', '""Świętokrzyscy Burzyciele Barier"" im. Anny Sowy (konkurs)', 'Zawody sportowe', 'Teleturnieje']",,,,,,
