,150,450a,550a,009a,all_categories,kategorie_tematyczne,subject_category,item,ukLabel,deLabel,frLabel,enLabel,plLabel,itemId,lcsh,yso,550g,550h,009,455,555a,555g,555h,155
Retelling,Retelling,"['Renarracja', 'Rewriting']",,['9810689326905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q252370,,Nacherzählung,récit,retelling,Retelling,Q252370,,,"['Pisarstwo', 'Intertekstualność']",,,,,,,
Klinika dla Pluszaków (miejsce fikcyjne),Klinika dla Pluszaków (miejsce fikcyjne),,,['9810677379905606'],Literaturoznawstwo 35,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Krainy i światy fikcyjne'],,,,,,,
Lubuski Wawrzyn Literacki,Lubuski Wawrzyn Literacki,['Nagroda Lubuski Wawrzyn Literacki'],,['9810532030705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q56338251,,,,,Lubuski Wawrzyn Literacki,Q56338251,,,['Nagrody literackie'],,,,,,,
Dramaturdzy austriaccy,Dramaturdzy austriaccy,,,['9810601238705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze austriaccy'],,,,,,,
Nagroda Literacka im. Andrzeja K. Waśkiewicza,Nagroda Literacka im. Andrzeja K. Waśkiewicza,['Nagroda Literacka ZLP im. Waśkiewicza'],,['9810531886505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
Fikcja literacka,Fikcja literacka,"['Fiction', 'Fiktion', 'Fikcjonalność']","['Diegesis', 'Fabuła', 'Krainy i światy fikcyjne', 'Mimesis', 'Narracja', 'Poetyka', 'Postacie fikcyjne', 'Postać literacka', 'Świat przedstawiony', 'Światotwórstwo', 'Zamiana ról']",['9810574733405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q38072107,художня література,fiktionale Literatur,littérature fictionnelle,fiction literature,fikcja literacka,Q38072107,sh85048050,,,,,,,,,
"Zielonogórska Nagroda Literacka ""Winiarka""","Zielonogórska Nagroda Literacka ""Winiarka""","['Nagroda Literacka ""Winiarka""']",,['9810531882805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
Dekadentyzm,Dekadentyzm,"['Dekadenci', 'Decadence', 'Dekadenz']",,['9810572973705606'],Literaturoznawstwo Socjologia i społeczeństwo,"['Literaturoznawstwo', 'Socjologia i spo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q846094,Декадентство (течія),Dekadenzdichtung,décadentisme,Decadent movement,dekadentyzm,Q846094,sh85036155,,"['Prądy i kierunki literackie', 'Modernizm', 'Postawy']",,,,,,,
Wersyfikacja,Wersyfikacja,['Metryka (literatura)'],"['Poetyka', 'Prozodia']",['9810668907405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q1930620,Віршування,Verslehre,versification,versification,wersyfikacja,Q1930620,,,,"['Heksametr', 'Rym', 'Wiersz wolny']",,,,,,
Formy autobiograficzne,Formy autobiograficzne,"['Autobiografizm', 'Autobiograficzne narracje', 'Narracje autobiograficzne', 'Autobiographical writing', 'Egodokumenty', 'Écriture autobiographique', 'Intymistyka', 'Literatura dokumentu osobistego', 'Pisarstwo autobiograficzne', 'Podmiot sylleptyczny']","['Autoetnografia', 'Miejsca autobiograficzne', 'Pamięć autobiograficzna', 'Tożsamość osobista', 'Źródła historyczne']",['9810532001105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Kolonizacja kosmosu,Kolonizacja kosmosu,"['Podbój kosmosu', 'Zaludnianie przestrzeni kosmicznej', 'Space colonization', 'Space settlement', 'Extraterrestrial colonization']","['Astronauci', 'Astronautyka', 'EuroMoonMars', 'Futurologia', 'Kosmiczne śmieci', 'Loty kosmiczne', 'Podróże międzyplanetarne', 'Program Apollo', 'Stacja kosmiczna', 'Wszechświat', 'Wyścig kosmiczny']",['9810627239905606'],Astronomia i fizyka Literaturoznawstwo,"['Astronomia i fizyka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q686876,Колонізація космосу,Weltraumkolonisierung,colonisation de l'espace,space colonization,kolonizacja kosmosu,Q686876,sh85125921,,,,,,,,,
Minionki (stworzenia fantastyczne),Minionki (stworzenia fantastyczne),['Minions'],,['9810676255105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Stworzenia fantastyczne'],,,,,,,
Metamorfoza postaci,Metamorfoza postaci,"['Metamorfoza bohatera', 'Przemiana postaci', 'Przemiana bohatera', 'Przemiana wewnętrzna bohatera', 'Przeobrażenie postaci', 'Przeobrażenie bohatera']","['Postacie fikcyjne', 'Postać literacka', 'Przemiana duchowa', 'Stworzenia fantastyczne', 'Zamiana ról']",['9810676265505606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Apokryficzność,Apokryficzność,,"['Fałszerstwo', 'Mistyfikacja literacka']",['9810542001205606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Krytyka psychoanalityczna,Krytyka psychoanalityczna,"['Psychoanalytic criticism', 'Critique psychoanalytique', 'Psychoanalytische Kritik', 'Psychoanaliza w badaniach literackich']",,['9810663266605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Teoria literatury', 'Psychoanaliza']",,,,,,,
Niedoparki (stworzenia fantastyczne),Niedoparki (stworzenia fantastyczne),['Lichožrouti'],,['9810645487305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Stworzenia fantastyczne', 'Skarpetki']",,,,,,,
Poeci koreańscy,Poeci koreańscy,"['Korean poets', 'Poets, Korean']",,['9810655998505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze koreańscy'],,,,,,,
Pisarze koreańscy,Pisarze koreańscy,"['Authors, Korean']",,['9810655999705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci koreańscy'],,,,,,
Latopis Radziwiłłowski,Latopis Radziwiłłowski,"['Latopis Królewiecki', ""Kenigsberskaâ letopis'"", ""Radzivillovskaâ letopis'""]",,['9810643759305606'],Historia Literaturoznawstwo,"['Historia', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q36617,Радзивіллівський літопис,Radziwiłł-Chronik,Chronique des Radziwiłł,Radziwiłł Chronicle,Latopis Radziwiłłowski,Q36617,no97033145,,,,,,,,,
Podróże międzyplanetarne,Podróże międzyplanetarne,,,['9810673028005606'],Astronomia i fizyka Kultura i sztuka Literaturoznawstwo,"['Astronomia i fizyka', 'Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Kolonizacja kosmosu', 'Loty kosmiczne']",,,,,,,
Obcy (stworzenie fantastyczne),Obcy (stworzenie fantastyczne),"['Alien (stworzenie fantastyczne)', 'Aliens (stworzenie fantastyczne)', 'Ksenomorf (stworzenie fantastyczne)', 'Xenomorph (stworzenie fantastyczne)']",,['9810569165405606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Stworzenia fantastyczne'],,,,,,,
Powroty zmarłych,Powroty zmarłych,"['Powroty umarłych', 'Powrót zmarłych', 'Powrót umarłych', 'Martwiaki', 'Nieumarli', 'Ożywieńcy', 'Undead']","['Duchy', 'Ghule (stworzenia fantastyczne)', 'Nekromancja', 'Śmierć', 'Wampir (stworzenie fantastyczne)', 'Zaświaty', 'Zombi (stworzenia fantastyczne)']",['9810658957405606'],Kultura i sztuka Religia i duchowość Literaturoznawstwo,"['Kultura i sztuka', 'Religia i duchowo', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Filologia ugrofińska,Filologia ugrofińska,"['Finno-Ugrian philology', 'Finno-Ugric philology', 'Ugrofinistyka']",,['9810659386605606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Filologia'],"['Filologia estońska', 'Filologia fińska', 'Filologia węgierska']",,,,,,
Chronotop,Chronotop,['Chronotope'],"['Narracja', 'Teoria literatury']",['9810557956705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Komunikacja literacka,Komunikacja literacka,,,['9810556737505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Komunikacja społeczna', 'Odbiór dzieła literackiego', 'Teoria literatury']",,,,,,,
Petrarca-Preis,Petrarca-Preis,"['Nagroda Petrarki', 'Nagroda im. Petrarki']",,['9810535335705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
Nagroda Goncourtów,Nagroda Goncourtów,"['Literacka Nagroda Goncourtów', 'Nagroda Goncourta', 'Nagroda Literacka Goncourtów', 'Prix Goncourt']",,['9810675916805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q187300,Ґонкурівська премія,Prix Goncourt,prix Goncourt,Prix Goncourt,Nagroda Goncourtów,Q187300,sh85107071,,['Nagrody literackie'],,,,,,,
Postpamięć,Postpamięć,['Postmemory'],"['Holokaust', 'Kultura pamięci', 'Ocaleni z Holokaustu', 'Pamięć', 'Pamięć zbiorowa', 'Trauma']",['9810694430005606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Bezludna wyspa,Bezludna wyspa,"['Wyspa bezludna', 'Unhabitated island']",,['9810698221005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q9169862,,,,,Bezludna wyspa,Q9169862,,,['Wyspy'],,,,,,,
Tradycja literacka,Tradycja literacka,"['Literary tradition', 'Literarische Tradition', 'Tradition littéraire']","['Historia literatury', 'Kanon literatury', 'Krytyka literacka', 'Lęk przed wpływem (teoria)', 'Literaturoznawstwo', 'Prądy i kierunki literackie', 'Proces historycznoliteracki', 'Wpływ i recepcja']",['9810539926305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q9360679,,,,literary tradition,tradycja literacka,Q9360679,,,,,,,,,,
Świat przedstawiony,Świat przedstawiony,"['Presented world', 'Univers représenté', 'Dargestelle Welt']","['Diegesis', 'Fabuła', 'Fikcja literacka', 'Immersja (estetyka)', 'Mimesis', 'Narracja', 'Podmiot literacki', 'Poetyka', 'Postać literacka', 'Suspens', 'Światotwórstwo', 'Zamiana ról']",['9810619811305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q617332,сетинг,Schauplatz,cadre d'une œuvre,setting,świat przedstawiony,Q617332,sh85120397,,,,,,,,,
Ironia romantyczna,Ironia romantyczna,,"['Ironia', 'Filozofia', 'Romantyzm']",['9810544703705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q1605314,,Romantische Ironie,,,ironia romantyczna,Q1605314,,,,,,,,,,
Synkretyzm (literatura),Synkretyzm (literatura),"['Gatunki synkretyczne', 'Synkretyzm gatunkowy', 'Synkretyzm rodzajowy']","['Genologia', 'Poetyka', 'Rodzaje i gatunki literackie']",['9810691344405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Slam poetycki,Slam poetycki,['Poetry slam'],"['Imprezy literackie', 'Improwizacja literacka', 'Konkursy i festiwale literackie']",['9810675835105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q20852,Поетичний слем,Poetry-Slam,slam,poetry slam,slam poetycki,Q20852,,24219,,,,,,,,
Performatywność,Performatywność,['Performativity'],"['Antropologia społeczna', 'Ciało ludzkie', 'Czytanie perforrmatywne', 'Dekonstrukcja (filozofia)', 'Estetyka', 'Gender', 'Literaturoznawstwo', 'Performance', 'Performatyka', 'Pisanie performatywne', 'Sztuka', 'Teatralizacja', 'Teoria sztuki', 'Wypowiedzi performatywne']",['9810551966905606'],Etnologia i antropologia kulturowa Filozofia i etyka Kultura i sztuka Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Filozofia i etyka', 'Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Podmiot literacki,Podmiot literacki,"['""Ja"" literackie', 'Narrator', 'Podmiotowość literacka', 'Podmiot liryczny', 'Podmiot tekstowy', 'Podmiot w literaturze']","['Literaturoznawstwo', 'Narracja', 'Poetyka', 'Świat przedstawiony']",['9810614738605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q11820489,,,,,Podmiot literacki,Q11820489,,,,,,,,,,
Animal studies,Animal studies,"['Antropologia zwierząt', 'Studia nad zwierzętami', 'Zoopoetyka', 'Zoofilologia', 'Zoosemiotyka']","['Antropologia społeczna', 'Ekokrytyka', 'Etnografia wielogatunkowa', 'Teoria literatury', 'Ludzie a zwierzęta', 'Zwierzęta']",['9810658463705606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q4764988,,Animal studies,études animalistes,animal studies,Animal studies,Q4764988,,,,,,,,,,
Pakt z diabłem,Pakt z diabłem,"['Cyrograf', 'Pact with the devil']","['Diabeł', 'Piekło']",['9810577611105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q24704933,Доріан Грей. Диявольський портрет,Teufelspakt,Pacte avec le Diable,pact with the devil,Pakt z diabłem,Q24704933,,,,,,,,,,
Polifoniczność (literatura),Polifoniczność (literatura),"['Mnogogolosie', 'Polifoničeskij roman', 'Polifonia (literatura)', 'Polifoničnost', 'Polyphonic novel', 'Roman polyphonique', 'Polyphonisher Roman', 'Powieść polifoniczna', 'Wielogłosowość']","['Literaturoznawstwo', 'Narracja', 'Poetyka']",['9810568160105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Adoksografia,Adoksografia,,"['Komizm', 'Retoryka', 'Sofiści', 'Starożytność']",['9810644148105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q4684656,,,,adoxography,Adoksografia,Q4684656,,,,,,,,,,
Anonimy,Anonimy,"['Anonimowe listy', 'Listy anonimowe']","['Anonimowość', 'Poczta elektroniczna', 'SMS']",['9810609506105606'],Literaturoznawstwo Socjologia i społeczeństwo,"['Literaturoznawstwo', 'Socjologia i spo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pokolenie literackie,Pokolenie literackie,['Pokolenia literackie'],"['Grupy literackie', 'Literaturoznawstwo', 'Pisarze', 'Pokolenie (socjologia)', 'Program literacki', 'Socjologia literatury', 'Życie literackie']",['9810577763005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q11821256,,,,,pokolenie literackie,Q11821256,,,,"['Pokolenie ""Współczesności""', 'Rozstrzelane odrodzenie']",,,,,,
Transatlantyk (nagroda),Transatlantyk (nagroda),['Nagroda Transatlantyk'],,['9810691746105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
Cyberpunk,Cyberpunk,,,['9810613283705606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q174526,кіберпанк,Cyberpunk,cyberpunk,cyberpunk,cyberpunk,Q174526,sh2012000080,15528,"['Subkultura', 'Futurologia', 'Przemysły wysokiej techniki', 'Punk', 'Rzeczywistość alternatywna', 'Steampunk']",,,,,,,
Steampunk,Steampunk,,,['9810595627305606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q223685,стімпанк,Steampunk,steampunk,steampunk,Steampunk,Q223685,sh2009010578,38251,"['Subkultura', 'Cyberpunk', 'Historia alternatywna', 'Punk']",,,,,,,
Pisarze maurytyjscy,Pisarze maurytyjscy,"['Écrivains mauriciens', 'Mauritian writers']",,['9810671990005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Paronomazja,Paronomazja,"['Paronomasia', 'Paronomase', 'Paronomasie']",,['9810530101005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q1637961,парономазія,Paronomasie,,paronomasia,paronomazja,Q1637961,,,"['Figury retoryczne', 'Aliteracja', 'Stylistyka']",,,,,,,
Przekłady gruzińskie,Przekłady gruzińskie,,,['9810666104705606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język gruziński'],,,,,,,
Rękopisy z Szatberdi,Rękopisy z Szatberdi,"['Rękopis szatberdski', 'Rękopisy z Shatberdi']",,['9810553251605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Korespondencja sztuk,Korespondencja sztuk,"['Synteza sztuk', 'Ut pictura poesis', 'Wspólnota sztuk']","['Intermedialność', 'Intersemiotyczność', 'Komparatystyka', 'Ekfraza', 'Sztuka']",['9810582892205606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q16567872,,,,,Korespondencja sztuk,Q16567872,,,,,,,,,,
Świat nocnych łowców (świat fikcyjny),Świat nocnych łowców (świat fikcyjny),['Shadowhunters (świat fikcyjny)'],,['9810688893105606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Krainy i światy fikcyjne'],,,,,,,
Herosi (postacie mitologiczne),Herosi (postacie mitologiczne),"['Heros (postać mitologiczna)', 'Heros (mitologia)']",,['9810609498805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Postacie mitologiczne', 'Mitologia grecka']",,,,,,,
Udawane związki,Udawane związki,['Fake relationships'],"['Manipulacja (psychologia)', 'Oszustwo']",['9810687552605606'],Literaturoznawstwo Socjologia i społeczeństwo,"['Literaturoznawstwo', 'Socjologia i spo']",Literaturoznawstwo,,,,,,,,,,['Relacje międzyludzkie'],,,,,,,
Troy (świat fikcyjny),Troy (świat fikcyjny),,,['9810556672205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Krainy i światy fikcyjne'],,,,,,,
Nagroda Literacka im. Marka Nowakowskiego,Nagroda Literacka im. Marka Nowakowskiego,,,['9810588966205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q56328818,,,,,Nagroda Literacka im. Marka Nowakowskiego,Q56328818,,,['Nagrody literackie'],,,,,,,
Przekłady europejskie,Przekłady europejskie,,,['9810588822005606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Przekłady radzieckie,Przekłady radzieckie,,,['9810588822205606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Poeci bośniaccy,Poeci bośniaccy,"['Bosnian poets', 'Poets, Bosnian']",,['9810685109105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze bośniaccy'],,,,,,,
Przekłady irlandzkie,Przekłady irlandzkie,,,['9810560737205606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język irlandzki'],,,,,,,
Przekłady na języki indyjskie,Przekłady na języki indyjskie,"['Przekłady na języki Indii', 'Przekłady indyjskie']",,['9810545357405606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Języki indyjskie'],['Przekłady hindi'],,,,,,
Przekłady szwedzkie,Przekłady szwedzkie,,,['9810545357505606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język szwedzki'],,,,,,,
Przekłady hindi,Przekłady hindi,"['Przekłady hinduskie', 'Przekłady indyjskie']",,['9810694577305606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Przekłady na języki indyjskie'],,,,,,,
Antybohater,Antybohater,"['Antihero', 'Antybohaterowie']",,['9810543249205606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q110910,антигерой,Antiheld,antihéros,antihero,antybohater,Q110910,sh85005681,21016,"['Postacie fikcyjne', 'Czarny charakter', 'Postać literacka', 'Superbohaterowie']",,,,,,,
Latopis Ipatiewska,Latopis Ipatiewska,"['Latopis Ipatjewska', 'Latopis Ipatijewski', 'Latopis Hipacki', 'Kodeks Hipacki', 'Kodeks Ipatiewski']",,['9810536622105606'],Historia Literaturoznawstwo,"['Historia', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Dwudziestolecie międzywojenne (1918-1939),Dwudziestolecie międzywojenne (1918-1939),,"['Appeasement', 'Autorytaryzm (politologia)', 'I wojna światowa (1914-1918)', 'II wojna światowa (1939-1945)', 'Koncepcja federacyjna Piłsudskiego', 'Koncepcja inkorporacyjna Dmowskiego', 'Totalitaryzm', 'Prądy i kierunki literackie', 'Style architektoniczne', 'Style i kierunki artystyczne', 'Wielki kryzys (1929-1935)']",['9810579108905606'],Historia Kultura i sztuka Literaturoznawstwo,"['Historia', 'Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Filozofia literatury,Filozofia literatury,,"['Estetyka', 'Filozofia kultury', 'Teoria literatury', 'Literaturoznawstwo']",['9810643683605606'],Filozofia i etyka Literaturoznawstwo,"['Filozofia i etyka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Posthumanizm,Posthumanizm,"['Posthumanism', 'Post-humanism', 'Post-humanisme', 'Posthumanismus']","['Antropocentryzm', 'Antropologia filozoficzna', 'Antropologia społeczna', 'Antropologia współczesności', 'Etnografia transrelacyjna', 'Etnografia wielogatunkowa', 'Evantropia', 'Humanizm (prąd)', 'Niebieska humanistyka (nurt posthumanistyczny)', 'Podmiotowość', 'Teoria literatury', 'Transhumanizm']",['9810694438805606'],Etnologia i antropologia kulturowa Filozofia i etyka Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Filozofia i etyka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q2119946,Постгуманізм,Posthumanismus,post-humanisme,Posthumanism,posthumanizm,Q2119946,,28278,,,,,,,,
Teoria afektów,Teoria afektów,"['Afekt (antropologia kulturowa)', 'Afekt (antropologia społeczna)', 'Afekt (filozofia)', 'Afekt (teoria)', 'Afekty (antropologia kulturowa)', 'Afekty (antropologia społeczna)', 'Afekty (filozofia)', 'Afekty (teoria)', 'Afektywność', 'Affect (philosophy)', 'Affectiveness', 'Krytyka afektywna']","['Antropologia filozoficzna', 'Antropologia społeczna', 'Ciało ludzkie', 'Filozofia', 'Podmiotowość', 'Psychologia', 'Teoria literatury', 'Uczucia']",['9810694441505606'],Etnologia i antropologia kulturowa Filozofia i etyka Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Filozofia i etyka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q382228,,Affektenlehre,,doctrine of the affections,Teoria afektów,Q382228,,,,,,,,,,
Stylometria,Stylometria,,,['9810669095905606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q107746447,Стильометрія,Stilometrie,stylométrie,stylometry,Stylometria,Q107746447,,,['Stylistyka'],,,,,,,
Pisarze mozambiccy,Pisarze mozambiccy,,,['9810663090705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pragnienie mimetyczne,Pragnienie mimetyczne,"['Mimetic desire', 'Désir mimétique', 'Pragnienie trójkątne']","['Antropologia społeczna', 'Mimesis', 'Psychoanaliza', 'Teoria literatury']",['9810568428105606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Tartusko-moskiewska szkoła semiotyki,Tartusko-moskiewska szkoła semiotyki,"['Grupa Tartu-Moskwa', 'Szkoła naukowa tartusko-moskiewska', 'Szkoła semiotyki tartusko-moskiewska', 'Moskovsko-tartuskaâ semiotičeskaâ škola', 'Tartu-Moscow Semiotic School', 'Tartusko-moskovskaâ semiotičeskaâ škola']","['Semiotyka', 'Systemy modelujące (semiotyka)', 'Szkoła naukowa']",['9810544798305606'],Literaturoznawstwo Językoznawstwo,"['Literaturoznawstwo', 'J']",Literaturoznawstwo,http://www.wikidata.org/entity/Q2659079,Тартусько-московська семіотична школа,,École de Tartu-Moscou,Tartu–Moscow Semiotic School,Tartusko-moskiewska szkoła semiotyki,Q2659079,,,,,,,,,,
Systemy modelujące (semiotyka),Systemy modelujące (semiotyka),"['Modelling systems', 'Pervičnaâ modeliruûŝaâ sistema', 'Prymarny system modelujący', 'Wtórne systemy modelujące', 'Wtórny system modelujący', 'Vtoričnye modeliruûŝie sistemy']",['Tartusko-moskiewska szkoła semiotyki'],['9810544802005606'],Literaturoznawstwo Językoznawstwo,"['Literaturoznawstwo', 'J']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
New Criticism,New Criticism,"['Nowa Krytyka', 'Formalizm amerykański']",,['9810663873505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q742302,Нова критика,New Criticism,New criticism,New Criticism,New Criticism,Q742302,sh85091257,1064,"['Teoria literatury', 'Close reading', 'Krytyka tematyczna']",,,,,,,
Nagroda Literacka im. Władysława Krygowskiego,Nagroda Literacka im. Władysława Krygowskiego,,,['9810705893405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
